north_customer,east_customer,west_customer,south_customer
ARCHIAN FOODS,A.S. Food Products,XOTIK FRUJUS PVT. LTD,AARROW MINERAL AND WATER
FRESCA FOODS PRIVATE LIMITED,PRAGATI BEVERAGES,XOTIK FRUJUS PVT LTD(TELANGANA),ANUGRAHA INDUSTRIES
HONEY- G FOODIES ZONE PVT LTD,SGS KHANNA FOOD AND BEVERAGES PRIVATE LIMITED,DAVAT BEVERAGES,BHAVISHYA FOODS AND BEVERAGES PVT
ICE BEVERAGES PRIVATE LIMITED,S M CONSUMERS PRIVATE LIMITED,A.G. SODA FACTORY,BISLERI Coimbatore
INDIAN RAILWAY CATERING AND TOURISM,M/S MAHABIR FOOD INDUSTRIES,AMULFED DAIRY(A UNIT OF G.C.M.M,BISLERI Keesara
JAYANTI COLD STORAGE,AMAN INDUSTRIES,BANASKANTHA DIST CO-OP,BISLERI Bidadi
KASHMIR HYGIENICS PVT LTD,AQUENCE WATER,BARODA DISTRICT CO. OP. MILK PRODUC,BISLERI Bangalore
RIDHI SIDHI ENTERPRISES,SAVERA BEVERAGES,EVIKA BEVERGES AND FOODS,BISLERI Goa
SURU FOODS AND BEVERAGES PVT LTD,SUDHASREE MINERALS AND NUTRIENTS PVT LTD,DRYTECH PROCESSES (I) PVT.LTD,BISLERI Pashmaylram
NOURISH CO BEVERAGES LTD,SPESINA FOOD & AGRO INDUSTRIES PVT. LTD,ICE BEVERAGES PRIVATE LIMITED,BISLERI Vizag
SVRE PACKAGING PVT LTD,OPEC UDYOG PRIVATE LIMITED,JAYANTI COLD STORAGE,BISLERI Pune
TULSI ENTERPRISES,X'SS BEVERAGE CO,KALIKA CORPORATION,BISLERI Mumbai
SABAR SABARKANTHA DCMPU LTD,S R BEVERAGES,KAIRA DCMPU LIMITED,BISLERI Ghaziabad
BLUEBELL PREMIUM WATER (P) LTD,RISHI BEVERAGES,KAIRA DISTRICT CO-OP,BISLERI Chhatral
S S P BOTTLING,LAININGTHOU FOODS AND BEVERAGES,THE PANCHMAHAL DCMPU LIMITED,BISLERI RUDRAPUR
SHRI BANKEY BEHARI FOODS,METRO TRADING AGENCIES,KRISHA BEVERAGES,BTC FOOD & BEVERAGES PVT LTD
RAJ FLAVOURS INDIA LIMITED,MITTAL BIOTECH LIMITED,SHEELA FOODS,DASARI SPRINGS
HYDRO AQUA FOOD & BEVERAGES LLP,GREENZAR FOOD AND BEVERAGE,SURAT-TAPI DISTRICT CO-OPERATIVE MILK PRODUCERS UNION LIMITED,HEALTH
PRERNA BEVERAGES PRIVATE LIMITED,R. K. Food And Beverages Pvt. Ltd,PATEL BOTTLING CO.,IC FRESH WATER
ARCHIAN FOODS VALSAD,P.T HEALTHCARE PRIVATE LIMITED,PAN INTERNATIONAL LIMITED,SAPTHAGIRI INDUSTRIES
NONI FOOD & BEVERAGES,M M PET ENTERPRISE,PAGE IMPORTS AND EXPORTS DMCC,SELTZER BEVERAGES
MANPASAND BEVERAGES LTD,SARANCH UDYOG PRIVATE LIMITED,PREMIERE HK LIMITED,SHREE RAMACHANDRAA AQUA PRODUCTS
VHV BEVERAGES PVT LTD,SK STEEL,MAC TRADING BELGIUM EBVBA,SRI SAI KIRAN BEVERAGES
SHREE GANESH BOTTLING,KAMALS ICE CREAM & INDUSTRIES PRIVATE LIMITED,MANGAL BEVERAGES,SRI SHYAM FOOD INDUSTRIES
JIVO WELLNESS PVT LTD,CONCEPT,SAHLOCK UNIWAVES PVT LIMITED,SRIMATHA BEVERAGES PRIVATE LIMITED
FLINGO FOOD AND AGRO PVT LTD,KEMPTY BEVERAGES PRIVATE LIMITED,SHREE SAI CARE,SSS INDUSTRIES
HARI ARJUN AGRO,LAKSHMI FOOD AND BEVERAGE,SHREE RAMA POLYMERS,TRIDENT BEVERAGES
GLOBAL BUSINESS SYSTEMS,HIRAN BEVERAGES,WILSON AND COMPANY,AKSHAYA AQUA
KK SOLAR RO AND CHEMICAL IND,N K DISTRIBUTORS,STAR BOTTLING,DAILY FRESH FRUITS INDIA PRIVATE LI
KARMAH BEVERAGES LLP,DJS AQUA PRIVATE LIMITED,SPARKLE ENTERPRISES,GLACIER SPRING AQUA SERVICES P LTD
SHUBH FOOD AGRO INDUSTRIES,TANISHA ENTERPRISE,SILVASSA BOTTLING CO.,INDIAN RAILWAYCATERING &TOURISAM CO
ICE BERG FOODS LIMITED ,BS AQUA INDUSTRIES,VARUN BEVERAGES LIMITED,KALIS SPARKLING Villupuram
TATA CONSUMER PRODUCT LIMITED,ANIS AQUA,VALSAD DIST CO-OP PAL,KALIS SPARKLING Dindugul
NFB POLYMERS PVT LTD,AMUST WATER PRODUCTS PVT.LTD.,VALSAD DIST CO-OP NAG,KALIS SPARKLING Sricity
HYGEN BEVERAGES PVT LTD,MULTI PLAST INDUSTRIES,VIDYA DAIRY,MEGA PET INDUSTRIES
TPAC PACKAGING INDIA PVT LIMITED,BALAJI ENTERPRISE,AJE,THE T NARASAPURAM PACS LTD
SAI PLASTIC INDUSTRIES ,GHOSAL FOOD & BEVERAGES,DARSHANA BEVERAGES,UNIVERSAL SEEDS CORPORATION
MARCSUN FOODS AND BEVERAGES PVT LTD.,BIGHNESH PLASTIC & PACKAGING,SHRI AMBIKA FOOD PROCESSO,VICTORY PET
GREENZ,EAST COAST BEVERAGES,ANUTHAM ELIXIR PVT LTD,
BRAHMGANGE BEVERAGES PRIVATE LIMITED,DAZZLE FOOD AND BEVERAGES PVT LTD,DOWELL FOOD BEVERAGES PRIVATE LIMITED,
SILVERTONE INDUSTRIES PVT LTD,PUREPACK FOODS & BEVERAGES PRIVATE LIMITED,EXCEL FOOD AND BEVERAGES,
NH BEVERAGES PRIVATE LIMITED,Kempty Beverages Private Limited Begusarai,KHETAWAT BEVERAGES,
BOOTUP FOOD AND BEVERAGES PRIVATE LIMITED,IMPERIAL NATURAL BEVERAGES,ENERGY BEVERAGES PVT LTD,
Asian Lecto industries ltd,RAINBOW ENTERPRISE,DIAMOND JUBILEE PET,
MILKCO BEVERAGES PRIVATE LIMITED,,PANCHARATNA BEVERAGES,
PKG GLOBAL LLP,,SHEELPE ENTERPRISES PVT. LTD,
IOTA NANOTECHNOLOGY PVT LTD,,SOSYO HAJOORI BEVERAGES PVT LTD,
BALAJI AGRO FOODS,,MAAHI BEVERAGES,
J B AND SONS,,DECCAN SPRINGS,
ARCHIAN FOODS INDIA PRIVATE LIMITED,,RAJA BEVERAGES PRIVATE LIMITED,
JAYPORE FOODS PRIVATE LIMITED,,SHREE RAMA NEWSPRINT LTD,
HECTOR BEVERAGES PRIVATE LIMITED,,GANESH V SIRVI,
SHREE BALA JI ENTERPRISES,,V.K. FOODS,
LACED PRODUCTS PVT LTD,,O2RISE AQUA PRIVATE LIMITED,
Tata Consumer Products LTD Howrah New,,DIAMOND AGRO ENTERPRISE,
Tata Consumer Products LTD Chotupal New,,S R INDUSTRIES (D),
TASTOZ FOOD & BEVERAGES PRIVATE LIMITED,,FAMO CONSUMERS,
IMPERIAL NATURAL BEVERAGES,,FORTUNE SPRINGS,
IOTA NANOTECHNOLOGY PRIVATE LIMITED,,TRIMURTI BEVERAGES,
PLIME AGRO INDUSTRIES LIMITED,,DFB HEALTH CARE,
SONA BISCUITS LIMITED Unit III,,WILSON AND COMPANY,
,,KELZAI SECRETS PRIVATE LIMITED,
,,PRATISHTA BUSINESS SOLUTI,
,,MAXX BEVERAGES AND ENERGY PRIVATE LIMITED,
,,PRACHI PET,
,,NATURAL AQUA BEVERAGES,
,,SHREE ICHAMANI ENTERPRISES,
,,GOPI BEVERAGES,
,,SIDHA JOGESWAR AQUA,
,,BHUVANESHWARI WATER ENTERPRISE,
,,BERRYCON AQUA BEVERAGES PRIVATE LIMITED,
,,SHREE RADHIKA ENTERPRISES,
,,EXORA BEVERAGES PVT LTD,
,,TRUKSHA FOODS PRIVATE LIMITED,
,,OM SAI FOODS AND BEVERAGES,
,,ANNAPURNA INDUSTRIES,
,,ISHAJAL BEVERAGES PRIVATE LIMITED,
,,WATER DROPS,
,,PIPER BEVERAGES PRIVATE LIMITED,
,,NOURISH CO BEVERAGES LTD,
,,S S Beverages Pvt Ltd,
,,J R Foods & Beverages,
,,PATEL BEVERAGES PVT LTD,
,,PISBI ENTERPRISES,
,,YKM BOTTLING COMPANY PVT LTD,
,,VEE ESS BEVERAGES PVT LTD,
,,SANGAM BEVERAGES PRODUCTS,
,,WESTERN BEVERAGES PVT. LTD,
,,AV ORGANICS LLP,
,,AMAANZA AGRO INDIA PRIVATE LIMITED,
,,WATEREDGE HYDRATION,
,,ONE WORLD FOOD AND BEVERAGES LLP,
,,KAILASH ENTERPRISE,
,,J R FOODS & BEVERAGES (IML),
,,MEHTA INDUSTRIES,
,,DEEPALI PLASTO PACK,
,,MEHERAA DAIRY FOODS AND PRODUCTS PRIVATE LIMITED,
,,SYGNIA BRANDWORKS LLP,
,,AV ORGANICS PRIVATE LIMITED,
,,D J R INDUSTRIES,
,,SYNAPTIC INTEGRATED TELECOMMUNICATION PVT LTD (D),
,,JALARAM HEALTHCARE PRIVATE LIMITED,
,,LA LAVADO FABRICKA,
,,PANCHARATNA FOUNDATION,
,,OCEANA POSITIVE 2,
,,MOUNT MINERAL SPRINGS PRIVATE LIMITED,
,,M/S SAAGAR FOOD & BEVERAGES,
,,CAPTIVE ENTERPRISES,
,,SAI MINERALS (Energy co packers),
,,PUNJLAND BEVERAGES PVT LIMITED,
,,ASIANLALK HEALTH FOODS LTD,
,,KHS MACHINERY PVT LTD,
,,RARE SHAADES PRIVATE LIMITED,
,,SHRI MAYURESHWAR GROUP,
,,MEGHDHARA,
,,Sahu Enterprises,
,,shree nivas pet(berrycorn co packer),
,,PONDICHERRY CO -OP MILK PRODUCER,
,,ASTRIOL POLYPLAST,
,,KAIRA DISTRICT CO-OP MILK,
,,JSR ENTERPRISES,
,,INSTA POLYPACK,
,,PRATIK CONTAINER LLP,
,,M/S GURU BEVERAGES,
,,Bharat Fresh Foods LLP,
,,OM INDUSTRIES,
,,BUDHIA BEVERAGES,
,,ISHWARI PET TECHNOLOGY,
,,DEV BEVERAGES,
,,L&J BEVERAGES PRIVATE LIMITED,
,,L&J BEVERAGES PRIVATE LIMITED Kodambakkam,
,,GURU BEVERAGES,
,,SHRI SWATI FOOD PRODUCT,
,,IOTA NANOTECHNOLOGY PRIVATE LIMITED,
,,JOSH BEVERTECH LIMITED,
,,SWADESHI FOOD & BEVARAGES,
,,KAIRA DISTRICT CO-OPERATIVE MILK PRODUCERS UNION LIMITED,
,,SHAYAADRI BEVERAGES LLP,
,,IML PACKING PVT LTD,
,,IML PACKING PVT LIMITTED,
,,VYANA INDUSTRIES,
,,EPICOS BEVERAGES INDIA PRIVATE LIMITED,
,,THE BHAVNAGAR DISTRICT CO-OPERATIVE MILK PRODUCERS' UNION LIMITED,
,,WESTSIDE AGRO FOODS PRIVATE LIMITED,
,,EXOBERRY BEVERAGES,
,,SHREE POUCHES,
,,ENERGY BEVERAGES PVT LTD,
,,SIDHA JOGESWAR AQUA,
,,TRUKSHA FOODS PRIVATE LIMITED,
,,SAI MINERALS (Energy co packers),
